Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temperature Difference,Wear Torque Ratio,Machanical Stress,Thermal Stress
1,299.0,309.4,1419,48.3,91,0,10.399999999999977,0.9891304347826086,68537.7,92510.59999999999
1,298.9,309.3,1665,32.5,93,0,10.400000000000034,0.9893617021276596,54112.5,92449.76999999999
2,298.8,309.1,1559,34.7,95,0,10.300000000000011,0.9895833333333334,54097.3,92359.08000000002
2,298.8,309.2,1452,48.6,98,0,10.399999999999977,0.98989898989899,70567.2,92388.96
2,298.9,309.2,1581,36.7,101,0,10.300000000000011,0.9901960784313726,58022.700000000004,92419.87999999999
1,298.8,309.1,1439,39.2,104,0,10.300000000000011,0.9904761904761905,56408.8,92359.08000000002
0,298.9,309.2,1379,50.7,106,0,10.300000000000011,0.9906542056074766,69915.3,92419.87999999999
1,298.8,309.1,1350,52.5,111,0,10.300000000000011,0.9910714285714286,70875.0,92359.08000000002
1,298.8,309.1,1362,45.4,113,0,10.300000000000011,0.9912280701754386,61834.799999999996,92359.08000000002
1,298.8,309.1,1368,50.8,115,0,10.300000000000011,0.9913793103448276,69494.4,92359.08000000002
2,298.8,309.1,1368,49.1,117,0,10.300000000000011,0.9915254237288136,67168.8,92359.08000000002
0,298.8,309.2,1372,48.5,120,0,10.399999999999977,0.9917355371900827,66542.0,92388.96
2,298.8,309.1,1472,47.5,125,0,10.300000000000011,0.9920634920634921,69920.0,92359.08000000002
1,298.8,309.1,1489,49.1,128,0,10.300000000000011,0.9922480620155039,73109.90000000001,92359.08000000002
2,298.7,309.0,1843,25.8,130,0,10.300000000000011,0.9923664122137404,47549.4,92298.3
1,298.8,309.1,1418,46.3,133,0,10.300000000000011,0.9925373134328358,65653.4,92359.08000000002
0,298.8,309.2,1425,53.9,135,0,10.399999999999977,0.9926470588235294,76807.5,92388.96
2,298.9,309.2,1412,44.1,140,0,10.300000000000011,0.9929078014184397,62269.200000000004,92419.87999999999
1,298.9,309.1,2861,4.6,143,1,10.200000000000045,0.9930555555555556,13160.599999999999,92389.99
1,298.9,309.1,1383,54.9,145,0,10.200000000000045,0.9931506849315068,75926.7,92389.99
0,298.8,309.0,1497,43.8,147,0,10.199999999999989,0.9932432432432432,65568.59999999999,92329.2
1,298.7,309.0,1565,35.1,152,0,10.300000000000011,0.9934640522875817,54931.5,92298.3
1,298.7,309.0,1691,30.1,154,0,10.300000000000011,0.9935483870967742,50899.100000000006,92298.3
1,298.8,309.1,1512,40.7,156,0,10.300000000000011,0.9936305732484076,61538.4,92359.08000000002
1,298.8,309.1,1477,42.4,158,0,10.300000000000011,0.9937106918238994,62624.799999999996,92359.08000000002
1,298.8,309.1,1513,40.3,160,0,10.300000000000011,0.9937888198757764,60973.899999999994,92359.08000000002
2,298.8,309.0,1661,29.5,162,0,10.199999999999989,0.9938650306748467,48999.5,92329.2
1,298.8,309.1,1378,54.4,165,0,10.300000000000011,0.9939759036144579,74963.2,92359.08000000002
1,298.8,309.1,1393,52.6,167,0,10.300000000000011,0.9940476190476191,73271.8,92359.08000000002
2,298.8,309.0,1592,38.2,169,0,10.199999999999989,0.9941176470588236,60814.4,92329.2
1,298.8,309.0,1829,22.9,172,0,10.199999999999989,0.9942196531791907,41884.1,92329.2
2,298.9,309.0,1812,25.9,174,0,10.100000000000023,0.9942857142857143,46930.799999999996,92360.09999999999
1,299.0,309.1,1523,38.6,177,0,10.100000000000023,0.9943820224719101,58787.8,92420.90000000001
1,299.0,309.1,1394,45.1,179,0,10.100000000000023,0.9944444444444445,62869.4,92420.90000000001
2,298.9,308.9,1679,28.7,181,0,10.0,0.9945054945054945,48187.299999999996,92330.20999999999
0,298.8,308.9,1466,44.1,184,0,10.099999999999966,0.9945945945945946,64650.6,92299.31999999999
1,298.8,308.9,1527,32.4,189,0,10.099999999999966,0.9947368421052631,49474.799999999996,92299.31999999999
1,298.9,309.0,1410,65.7,191,1,10.100000000000023,0.9947916666666666,92637.0,92360.09999999999
2,298.9,309.0,1924,22.6,193,0,10.100000000000023,0.9948453608247423,43482.4,92360.09999999999
1,298.9,309.1,1452,45.5,196,0,10.200000000000045,0.9949238578680203,66066.0,92389.99
1,298.9,309.1,1369,44.4,198,0,10.200000000000045,0.9949748743718593,60783.6,92389.99
1,299.0,309.1,1592,35.0,200,0,10.100000000000023,0.9950248756218906,55720.0,92420.90000000001
1,298.9,309.0,1601,32.3,202,0,10.100000000000023,0.9950738916256158,51712.299999999996,92360.09999999999
1,298.8,308.9,1379,46.7,204,0,10.099999999999966,0.9951219512195122,64399.3,92299.31999999999
1,298.8,308.9,1461,47.9,206,0,10.099999999999966,0.9951690821256038,69981.9,92299.31999999999
1,298.8,308.9,1455,41.3,208,1,10.099999999999966,0.9952153110047847,60091.49999999999,92299.31999999999
1,298.8,308.9,1398,51.5,0,0,10.099999999999966,0.0,71997.0,92299.31999999999
1,298.8,308.9,1402,37.9,2,0,10.099999999999966,0.6666666666666666,53135.799999999996,92299.31999999999
0,298.8,308.8,1445,49.9,4,0,10.0,0.8,72105.5,92269.44
1,298.9,308.9,1450,47.5,9,0,10.0,0.9,68875.0,92330.20999999999
1,298.9,308.9,1453,40.8,11,0,10.0,0.9166666666666666,59282.399999999994,92330.20999999999
1,299.0,309.0,1469,40.1,13,0,10.0,0.9285714285714286,58906.9,92391.0
1,298.9,308.9,1422,47.6,15,0,10.0,0.9375,67687.2,92330.20999999999
2,299.0,309.0,1804,26.8,17,0,10.0,0.9444444444444444,48347.200000000004,92391.0
0,299.0,309.0,1436,43.9,20,0,10.0,0.9523809523809523,63040.4,92391.0
1,299.0,309.0,1544,31.8,25,0,10.0,0.9615384615384616,49099.200000000004,92391.0
2,299.0,309.0,1419,45.2,27,0,10.0,0.9642857142857143,64138.8,92391.0
2,298.9,308.9,1487,39.5,30,0,10.0,0.967741935483871,58736.5,92330.20999999999
1,298.9,308.9,1753,25.8,33,0,10.0,0.9705882352941176,45227.4,92330.20999999999
1,298.9,308.9,1830,24.9,35,0,10.0,0.9722222222222222,45567.0,92330.20999999999
2,298.9,308.9,1727,27.1,37,0,10.0,0.9736842105263158,46801.700000000004,92330.20999999999
1,299.1,309.0,1450,43.0,40,0,9.899999999999977,0.975609756097561,62350.0,92421.90000000001
1,299.0,308.9,1622,31.9,42,0,9.899999999999977,0.9767441860465116,51741.799999999996,92361.09999999999
2,299.0,309.0,1351,52.2,44,0,10.0,0.9777777777777777,70522.2,92391.0
2,299.0,309.0,1575,35.3,47,0,10.0,0.9791666666666666,55597.49999999999,92391.0
2,298.9,308.9,1750,29.9,50,0,10.0,0.9803921568627451,52325.0,92330.20999999999
1,298.9,308.8,1529,32.7,53,0,9.900000000000034,0.9814814814814815,49998.3,92300.31999999999
1,298.8,308.8,1523,44.4,55,0,10.0,0.9821428571428571,67621.2,92269.44
1,298.8,308.9,1852,25.0,57,0,10.099999999999966,0.9827586206896551,46300.0,92299.31999999999
1,298.8,308.8,1991,20.7,59,0,10.0,0.9833333333333333,41213.7,92269.44
1,298.8,308.8,1555,40.6,61,0,10.0,0.9838709677419355,63133.0,92269.44
2,298.8,308.8,1441,40.5,63,0,10.0,0.984375,58360.5,92269.44
1,298.8,308.7,1450,43.4,66,0,9.899999999999977,0.9850746268656716,62930.0,92239.56
1,298.8,308.7,1591,31.1,68,0,9.899999999999977,0.9855072463768116,49480.100000000006,92239.56
1,298.8,308.7,1445,48.5,70,0,9.899999999999977,0.9859154929577465,70082.5,92239.56
2,298.8,308.8,1497,46.8,72,0,10.0,0.9863013698630136,70059.59999999999,92269.44
0,298.9,308.8,1621,32.7,75,0,9.900000000000034,0.9868421052631579,53006.700000000004,92300.31999999999
1,298.9,308.7,1572,34.1,80,0,9.800000000000011,0.9876543209876543,53605.200000000004,92270.43
1,298.8,308.6,1872,22.5,82,0,9.800000000000011,0.9879518072289156,42120.0,92209.68000000001
0,298.7,308.6,1499,43.5,84,0,9.900000000000034,0.9882352941176471,65206.5,92178.82
2,298.8,308.7,1498,39.5,89,0,9.899999999999977,0.9888888888888889,59171.0,92239.56
2,298.8,308.6,1486,41.9,92,0,9.800000000000011,0.989247311827957,62263.4,92209.68000000001
1,298.8,308.6,1680,29.4,95,0,9.800000000000011,0.9895833333333334,49392.0,92209.68000000001
1,298.8,308.6,1431,45.7,97,0,9.800000000000011,0.9897959183673469,65396.700000000004,92209.68000000001
1,298.9,308.7,1564,34.1,99,0,9.800000000000011,0.99,53332.4,92270.43
1,298.8,308.6,1599,33.0,101,0,9.800000000000011,0.9901960784313726,52767.0,92209.68000000001
2,298.8,308.6,1707,28.1,103,0,9.800000000000011,0.9903846153846154,47966.700000000004,92209.68000000001
1,298.7,308.5,1467,40.7,106,0,9.800000000000011,0.9906542056074766,59706.9,92148.95
1,298.9,308.7,1433,44.7,108,0,9.800000000000011,0.9908256880733946,64055.100000000006,92270.43
1,298.9,308.7,1558,41.2,110,0,9.800000000000011,0.990990990990991,64189.600000000006,92270.43
1,299.0,308.8,1310,50.7,112,0,9.800000000000011,0.9911504424778761,66417.0,92331.2
1,298.9,308.7,1546,43.4,114,0,9.800000000000011,0.991304347826087,67096.4,92270.43
1,298.9,308.7,1727,29.4,116,0,9.800000000000011,0.9914529914529915,50773.799999999996,92270.43
1,298.9,308.6,1560,32.2,118,0,9.700000000000045,0.9915966386554622,50232.00000000001,92240.54
1,299.0,308.6,1329,60.5,120,0,9.600000000000023,0.9917355371900827,80404.5,92271.40000000001
1,298.9,308.6,1413,46.5,122,0,9.700000000000045,0.991869918699187,65704.5,92240.54
1,299.0,308.6,1587,38.6,124,0,9.600000000000023,0.992,61258.200000000004,92271.40000000001
1,298.9,308.5,1559,34.3,126,0,9.600000000000023,0.9921259842519685,53473.7,92210.65
1,298.8,308.4,1473,41.1,128,0,9.599999999999966,0.9922480620155039,60540.3,92149.92
1,298.8,308.4,1737,27.7,130,0,9.599999999999966,0.9923664122137404,48114.9,92149.92
2,298.7,308.4,1441,43.2,132,0,9.699999999999989,0.9924812030075187,62251.200000000004,92119.07999999999
2,298.7,308.4,1430,49.6,135,0,9.699999999999989,0.9926470588235294,70928.0,92119.07999999999
1,298.8,308.4,1369,53.0,138,0,9.599999999999966,0.9928057553956835,72557.0,92149.92
2,298.8,308.5,1711,28.5,140,0,9.699999999999989,0.9929078014184397,48763.5,92179.8
0,298.7,308.5,1420,45.7,143,0,9.800000000000011,0.9930555555555556,64894.00000000001,92148.95
1,298.7,308.6,1297,55.3,148,0,9.900000000000034,0.9932885906040269,71724.09999999999,92178.82
0,298.8,308.6,1449,49.4,150,0,9.800000000000011,0.9933774834437086,71580.59999999999,92209.68000000001
1,298.8,308.6,1268,55.8,155,0,9.800000000000011,0.9935897435897436,70754.4,92209.68000000001
1,298.8,308.6,1511,36.1,157,0,9.800000000000011,0.9936708860759493,54547.1,92209.68000000001
1,298.7,308.5,1544,35.2,159,0,9.800000000000011,0.99375,54348.8,92148.95
2,298.6,308.4,1778,28.2,161,0,9.799999999999955,0.9938271604938271,50139.6,92088.24
0,298.6,308.4,1407,50.5,164,0,9.799999999999955,0.9939393939393939,71053.5,92088.24
2,298.6,308.4,1391,42.4,169,0,9.799999999999955,0.9941176470588236,58978.4,92088.24
1,298.5,308.4,1513,33.6,172,0,9.899999999999977,0.9942196531791907,50836.8,92057.4
0,298.5,308.4,1612,36.1,174,0,9.899999999999977,0.9942857142857143,58193.200000000004,92057.4
1,298.4,308.4,1515,40.1,179,0,10.0,0.9944444444444445,60751.5,92026.55999999998
2,298.3,308.3,1379,48.0,181,0,10.0,0.9945054945054945,66192.0,91965.89000000001
1,298.4,308.3,1473,39.9,184,0,9.900000000000034,0.9945945945945946,58772.7,91996.72
1,298.4,308.3,1422,42.7,186,0,9.900000000000034,0.9946524064171123,60719.4,91996.72
2,298.4,308.2,1463,37.6,188,0,9.800000000000011,0.9947089947089947,55008.8,91966.87999999999
2,298.4,308.2,1584,41.0,191,0,9.800000000000011,0.9947916666666666,64944.0,91966.87999999999
1,298.4,308.2,1850,27.0,194,0,9.800000000000011,0.9948717948717949,49950.0,91966.87999999999
1,298.4,308.2,1528,36.2,196,0,9.800000000000011,0.9949238578680203,55313.600000000006,91966.87999999999
0,298.4,308.2,1987,19.8,198,0,9.800000000000011,0.9949748743718593,39342.6,91966.87999999999
2,298.4,308.1,1495,46.0,203,0,9.700000000000045,0.9950980392156863,68770.0,91937.04
0,298.4,308.2,1478,43.5,206,0,9.800000000000011,0.9951690821256038,64293.0,91966.87999999999
2,298.4,308.2,1499,40.0,211,0,9.800000000000011,0.9952830188679245,59960.0,91966.87999999999
1,298.4,308.2,1471,47.0,214,0,9.800000000000011,0.9953488372093023,69137.0,91966.87999999999
1,298.4,308.2,1282,60.7,216,1,9.800000000000011,0.9953917050691244,77817.40000000001,91966.87999999999
1,298.3,308.1,1412,52.3,218,1,9.800000000000011,0.9954337899543378,73847.59999999999,91906.23000000001
1,298.3,308.1,1586,35.5,0,0,9.800000000000011,0.0,56303.0,91906.23000000001
2,298.4,308.2,1468,43.8,2,0,9.800000000000011,0.6666666666666666,64298.399999999994,91966.87999999999
2,298.5,308.3,1440,43.6,5,0,9.800000000000011,0.8333333333333334,62784.0,92027.55
1,298.5,308.4,1733,26.0,8,0,9.899999999999977,0.8888888888888888,45058.0,92057.4
0,298.4,308.2,1612,32.6,10,0,9.800000000000011,0.9090909090909091,52551.200000000004,91966.87999999999
0,298.4,308.3,1458,42.9,15,0,9.900000000000034,0.9375,62548.2,91996.72
1,298.4,308.3,1433,62.3,20,1,9.900000000000034,0.9523809523809523,89275.9,91996.72
1,298.4,308.3,1318,59.1,22,0,9.900000000000034,0.9565217391304348,77893.8,91996.72
2,298.4,308.2,1610,35.0,24,0,9.800000000000011,0.96,56350.0,91966.87999999999
1,298.2,308.1,1462,50.8,27,0,9.900000000000034,0.9642857142857143,74269.59999999999,91875.42
2,298.1,308.0,1924,20.8,29,0,9.899999999999977,0.9666666666666667,40019.200000000004,91814.8
2,298.2,308.0,1591,33.7,32,0,9.800000000000011,0.9696969696969697,53616.700000000004,91845.59999999999
1,298.2,308.1,1306,58.3,35,0,9.900000000000034,0.9722222222222222,76139.8,91875.42
1,298.2,308.1,1382,43.5,37,0,9.900000000000034,0.9736842105263158,60117.0,91875.42
1,298.2,308.1,1618,34.7,39,0,9.900000000000034,0.975,56144.600000000006,91875.42
1,298.2,308.2,1988,21.4,41,0,10.0,0.9761904761904762,42543.2,91905.23999999999
1,298.2,308.2,1436,50.2,43,0,10.0,0.9772727272727273,72087.2,91905.23999999999
1,298.2,308.3,1304,49.8,45,0,10.100000000000023,0.9782608695652174,64939.2,91935.06
1,298.2,308.3,1475,49.9,47,0,10.100000000000023,0.9791666666666666,73602.5,91935.06
0,298.2,308.3,1824,24.2,49,0,10.100000000000023,0.98,44140.799999999996,91935.06
2,298.1,308.2,1342,48.1,54,0,10.099999999999966,0.9818181818181818,64550.200000000004,91874.42
1,298.1,308.2,1485,40.7,57,0,10.099999999999966,0.9827586206896551,60439.50000000001,91874.42
1,298.2,308.2,1667,30.6,59,0,10.0,0.9833333333333333,51010.200000000004,91905.23999999999
1,298.2,308.2,1446,38.2,61,0,10.0,0.9838709677419355,55237.200000000004,91905.23999999999
1,298.1,308.3,1301,56.0,63,0,10.199999999999989,0.984375,72856.0,91904.23000000001
1,298.2,308.4,1379,43.1,65,0,10.199999999999989,0.9848484848484849,59434.9,91964.87999999999
1,298.3,308.5,1606,33.6,67,0,10.199999999999989,0.9852941176470589,53961.600000000006,92025.55
2,298.3,308.4,1539,43.4,69,0,10.099999999999966,0.9857142857142858,66792.59999999999,91995.72
1,298.2,308.4,1477,49.9,72,0,10.199999999999989,0.9863013698630136,73702.3,91964.87999999999
1,298.2,308.4,1666,34.6,74,0,10.199999999999989,0.9866666666666667,57643.600000000006,91964.87999999999
0,298.2,308.4,1398,51.8,76,0,10.199999999999989,0.987012987012987,72416.4,91964.87999999999
0,298.2,308.4,1678,34.6,81,0,10.199999999999989,0.9878048780487805,58058.8,91964.87999999999
2,298.2,308.5,2678,10.7,86,1,10.300000000000011,0.9885057471264368,28654.6,91994.7
1,298.3,308.5,1453,42.9,89,0,10.199999999999989,0.9888888888888889,62333.7,92025.55
0,298.3,308.6,1432,49.5,91,0,10.300000000000011,0.9891304347826086,70884.0,92055.38
2,298.4,308.6,1527,40.9,96,0,10.200000000000045,0.9896907216494846,62454.299999999996,92086.24
1,298.4,308.7,1588,35.0,99,0,10.300000000000011,0.99,55580.0,92116.07999999999
1,298.4,308.6,1433,47.1,101,0,10.200000000000045,0.9901960784313726,67494.3,92086.24
1,298.4,308.6,1609,35.0,103,0,10.200000000000045,0.9903846153846154,56315.0,92086.24
1,298.3,308.5,1575,41.2,105,0,10.199999999999989,0.9905660377358491,64890.00000000001,92025.55
2,298.4,308.5,1636,35.7,107,0,10.100000000000023,0.9907407407407407,58405.200000000004,92056.4
1,298.4,308.5,1490,37.9,110,0,10.100000000000023,0.990990990990991,56471.0,92056.4
1,298.4,308.5,1741,32.8,112,0,10.100000000000023,0.9911504424778761,57104.799999999996,92056.4
2,298.5,308.6,1344,53.0,114,0,10.100000000000023,0.991304347826087,71232.0,92117.1
1,298.5,308.7,1609,35.3,117,0,10.199999999999989,0.9915254237288136,56797.7,92146.95
2,298.4,308.7,1421,60.7,119,1,10.300000000000011,0.9916666666666667,86254.7,92116.07999999999
1,298.4,308.6,1591,36.7,122,0,10.200000000000045,0.991869918699187,58389.700000000004,92086.24
1,298.4,308.6,1477,44.0,124,0,10.200000000000045,0.992,64988.0,92086.24
1,298.4,308.7,1523,36.1,126,0,10.300000000000011,0.9921259842519685,54980.3,92116.07999999999
1,298.5,308.7,1575,33.9,128,0,10.199999999999989,0.9922480620155039,53392.5,92146.95
0,298.4,308.7,1344,52.9,130,0,10.300000000000011,0.9923664122137404,71097.59999999999,92116.07999999999
1,298.4,308.7,1386,44.9,135,0,10.300000000000011,0.9926470588235294,62231.4,92116.07999999999
2,298.3,308.6,1589,37.1,137,0,10.300000000000011,0.9927536231884058,58951.9,92055.38
1,298.3,308.6,1548,40.3,140,0,10.300000000000011,0.9929078014184397,62384.399999999994,92055.38
1,298.3,308.6,1499,38.3,142,0,10.300000000000011,0.993006993006993,57411.7,92055.38
1,298.3,308.5,1664,31.6,144,0,10.199999999999989,0.993103448275862,52582.4,92025.55
1,298.3,308.6,1447,38.1,146,0,10.300000000000011,0.9931972789115646,55130.700000000004,92055.38
2,298.3,308.5,1434,46.2,148,0,10.199999999999989,0.9932885906040269,66250.8,92025.55
1,298.3,308.5,1416,52.7,151,0,10.199999999999989,0.993421052631579,74623.2,92025.55
0,298.4,308.5,1827,24.3,153,0,10.100000000000023,0.9935064935064936,44396.1,92056.4
1,298.4,308.6,1304,45.0,158,0,10.200000000000045,0.9937106918238994,58680.0,92086.24
1,298.4,308.6,1569,34.4,160,0,10.200000000000045,0.9937888198757764,53973.6,92086.24
1,298.3,308.6,1584,29.3,162,0,10.300000000000011,0.9938650306748467,46411.200000000004,92055.38
1,298.3,308.5,1362,53.8,164,0,10.199999999999989,0.9939393939393939,73275.59999999999,92025.55
1,298.3,308.4,1329,49.2,166,0,10.099999999999966,0.9940119760479041,65386.8,91995.72
1,298.3,308.5,1539,36.1,168,0,10.199999999999989,0.9940828402366864,55557.9,92025.55
2,298.3,308.5,1629,37.1,170,0,10.199999999999989,0.9941520467836257,60435.9,92025.55
1,298.3,308.5,1538,32.2,173,0,10.199999999999989,0.9942528735632183,49523.600000000006,92025.55
1,298.3,308.6,1570,34.8,175,0,10.300000000000011,0.9943181818181818,54635.99999999999,92055.38
1,298.3,308.4,1408,43.1,177,0,10.099999999999966,0.9943820224719101,60684.8,91995.72
1,298.2,308.4,1424,47.6,179,0,10.199999999999989,0.9944444444444445,67782.40000000001,91964.87999999999
1,298.2,308.4,1512,34.9,181,0,10.199999999999989,0.9945054945054945,52768.799999999996,91964.87999999999
1,298.2,308.4,1478,42.9,183,0,10.199999999999989,0.9945652173913043,63406.2,91964.87999999999
2,298.1,308.3,1680,33.7,185,0,10.199999999999989,0.9946236559139785,56616.00000000001,91904.23000000001
1,298.1,308.3,1495,38.7,188,0,10.199999999999989,0.9947089947089947,57856.50000000001,91904.23000000001
2,298.0,308.1,1552,36.6,190,0,10.100000000000023,0.9947643979057592,56803.200000000004,91813.8
1,297.9,308.1,1393,50.3,193,0,10.200000000000045,0.9948453608247423,70067.9,91782.99
1,298.0,308.2,1611,30.6,195,0,10.199999999999989,0.9948979591836735,49296.600000000006,91843.59999999999
2,298.0,308.1,1339,51.6,197,0,10.100000000000023,0.9949494949494949,69092.40000000001,91813.8
1,298.0,308.1,1777,24.3,200,0,10.100000000000023,0.9950248756218906,43181.1,91813.8
1,298.0,308.2,1348,58.8,202,1,10.199999999999989,0.9950738916256158,79262.4,91843.59999999999
1,298.0,308.2,1442,44.1,204,0,10.199999999999989,0.9951219512195122,63592.200000000004,91843.59999999999
2,298.0,308.2,1395,49.1,206,0,10.199999999999989,0.9951690821256038,68494.5,91843.59999999999
2,297.9,308.1,1627,31.4,209,0,10.200000000000045,0.9952380952380953,51087.799999999996,91782.99
1,297.9,308.1,1585,33.5,212,0,10.200000000000045,0.9953051643192489,53097.5,91782.99
1,298.0,308.2,1469,45.5,214,0,10.199999999999989,0.9953488372093023,66839.5,91843.59999999999
1,298.0,308.3,1362,56.8,216,1,10.300000000000011,0.9953917050691244,77361.59999999999,91873.40000000001
1,298.0,308.3,1405,56.2,218,1,10.300000000000011,0.9954337899543378,78961.0,91873.40000000001
1,298.0,308.3,1662,32.7,0,0,10.300000000000011,0.0,54347.4,91873.40000000001
2,298.0,308.2,1466,42.6,2,0,10.199999999999989,0.6666666666666666,62451.6,91843.59999999999
1,298.0,308.2,1620,35.8,5,0,10.199999999999989,0.8333333333333334,57995.99999999999,91843.59999999999
1,298.0,308.2,1357,48.2,7,0,10.199999999999989,0.875,65407.4,91843.59999999999
1,298.0,308.2,1514,37.9,9,0,10.199999999999989,0.9,57380.6,91843.59999999999
1,298.0,308.2,1489,40.4,11,0,10.199999999999989,0.9166666666666666,60155.6,91843.59999999999
1,298.1,308.3,1331,63.0,13,0,10.199999999999989,0.9285714285714286,83853.0,91904.23000000001
1,298.0,308.0,1615,29.5,15,0,10.0,0.9375,47642.5,91784.0
1,298.1,308.2,1482,37.9,17,0,10.099999999999966,0.9444444444444444,56167.799999999996,91874.42
2,298.1,308.2,1420,63.9,19,1,10.099999999999966,0.95,90738.0,91874.42
2,298.2,308.3,1522,49.1,22,0,10.100000000000023,0.9565217391304348,74730.2,91935.06
1,298.1,308.2,1654,32.1,25,0,10.099999999999966,0.9615384615384616,53093.4,91874.42
2,298.1,308.2,1736,26.8,27,0,10.099999999999966,0.9642857142857143,46524.8,91874.42
2,298.0,308.1,1587,32.3,30,0,10.100000000000023,0.967741935483871,51260.1,91813.8
1,298.1,308.2,1390,47.5,33,0,10.099999999999966,0.9705882352941176,66025.0,91874.42
1,298.0,308.1,1454,37.1,35,0,10.100000000000023,0.9722222222222222,53943.4,91813.8
0,298.0,308.1,1440,43.7,37,0,10.100000000000023,0.9736842105263158,62928.00000000001,91813.8
1,297.9,308.0,1954,21.1,42,0,10.100000000000023,0.9767441860465116,41229.4,91753.2
0,297.9,308.0,1800,24.8,44,0,10.100000000000023,0.9777777777777777,44640.0,91753.2
1,298.0,308.0,1524,37.0,49,0,10.0,0.98,56388.0,91784.0
0,298.0,308.0,1520,39.6,51,0,10.0,0.9807692307692307,60192.0,91784.0
2,298.1,308.1,1452,40.8,56,0,10.0,0.9824561403508771,59241.6,91844.61000000002
1,298.1,308.1,1484,40.4,59,0,10.0,0.9833333333333333,59953.6,91844.61000000002
1,298.1,308.0,1426,46.0,61,0,9.899999999999977,0.9838709677419355,65596.0,91814.8
1,298.1,308.0,1652,28.5,63,0,9.899999999999977,0.984375,47082.0,91814.8
1,298.0,308.0,1401,54.7,65,0,10.0,0.9848484848484849,76634.7,91784.0
2,298.0,307.9,1750,26.6,67,0,9.899999999999977,0.9852941176470589,46550.0,91754.2
0,298.0,308.0,1479,50.7,70,0,10.0,0.9859154929577465,74985.3,91784.0
2,298.0,308.0,1620,29.4,75,0,10.0,0.9868421052631579,47628.0,91784.0
1,298.0,308.1,1819,23.4,78,0,10.100000000000023,0.9873417721518988,42564.6,91813.8
2,298.1,308.1,1456,43.7,80,0,10.0,0.9876543209876543,63627.200000000004,91844.61000000002
